12;21;10;19;3;2;1;5;4;7;6;8;11;9;13;14;15;16;17;20;18;22;24;23;25;
24;15;6;14;8;3;9;12;10;11;1;2;4;5;7;13;18;22;25;23;16;17;20;19;21;
25;5;20;7;18;6;8;13;14;15;3;16;17;23;22;1;2;19;21;24;4;9;10;11;12;
1;23;13;2;16;17;18;19;24;22;12;10;20;21;25;3;4;5;9;11;6;8;7;14;15;
4;17;22;11;9;20;16;21;25;23;14;18;15;19;24;6;8;7;10;12;2;1;5;13;3;
2;4;5;6;10;1;7;3;20;14;8;9;12;11;15;18;13;17;16;19;21;23;22;25;24;
3;1;7;8;11;16;19;4;21;24;2;5;6;10;14;9;23;25;22;15;13;12;17;20;18;
9;12;14;16;19;8;15;11;17;13;7;22;18;25;23;2;1;20;24;21;3;5;4;6;10;
13;18;15;17;20;23;12;10;22;25;16;1;24;4;21;5;3;6;7;14;9;2;11;8;19;
21;22;23;24;25;18;2;9;5;6;13;3;19;17;20;8;10;12;11;4;7;14;1;15;16;
5;2;1;3;4;9;6;8;11;10;21;20;7;13;17;12;19;14;18;16;15;24;25;22;23;
6;7;9;10;12;5;3;22;15;1;4;11;14;8;19;24;25;23;2;13;20;16;18;21;17;
8;11;17;13;14;4;20;7;23;18;25;12;16;24;2;15;22;21;1;3;5;19;6;10;9;
16;19;21;20;24;12;13;25;2;17;23;15;9;22;18;10;6;11;4;5;14;3;8;1;7;
15;25;18;22;23;14;21;24;16;19;10;6;1;3;5;7;17;9;20;8;11;13;2;12;4;
7;3;2;5;6;10;14;16;9;20;19;23;22;18;12;4;11;1;15;25;24;21;13;17;8;
11;8;4;1;13;7;5;23;6;3;17;24;25;15;9;19;21;10;12;2;22;20;16;18;14;
10;9;12;21;22;24;25;17;19;2;20;4;13;14;3;16;5;8;6;18;23;11;15;7;1;
14;16;24;25;17;13;11;15;18;12;5;21;8;1;6;20;7;3;23;22;19;10;9;4;2;
18;20;19;23;15;21;22;1;8;4;11;7;2;16;10;17;14;24;13;9;25;6;12;3;5;
17;6;3;4;5;11;10;14;12;8;9;25;21;20;16;22;24;18;19;7;1;15;23;2;13;
19;10;8;9;1;15;4;18;7;16;22;14;23;2;11;21;20;13;5;17;12;25;3;24;6;
22;13;25;12;2;19;24;20;1;5;18;17;3;7;8;23;9;15;14;6;10;4;21;16;11;
23;24;11;18;21;22;17;6;13;9;15;19;10;12;4;25;16;2;3;1;8;7;14;5;20;
20;14;16;15;7;25;23;2;3;21;24;13;5;6;1;11;12;4;8;10;17;18;19;9;22;
